Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2011 Spr,China,Netherlands,Robert Meijer,N Col-NE Ridge,Success,2,,EVER-111-25
2011 Spr,Nepal,Pakistan,Mohammad Ali,S Col-SE Ridge,Success,2,,EVER-111-26
2011 Spr,China,USA,David Wermuth,N Col-NE Ridge,Success,3,,EVER-111-27
2011 Spr,Nepal,USA,David Hahn,S Col-SE Ridge,Success,4,,EVER-111-28
2011 Spr,China,"USA, Germany, Ireland, Netherlands, UK",Arnold Coster,N Col-NE Ridge,Success,12,,EVER-111-29
2011 Spr,China,Sweden,Anders Stavhag,N Col-NE Ridge,Success,3,,EVER-111-30
2011 Spr,Nepal,"Canada, Sweden","Christine Dube, Robin Trygg",S Col-SE Ridge,Success,5,,EVER-111-31
2011 Spr,China,Spain,Juan Agullo,N Col-NE Ridge,Success,2,,EVER-111-32
2011 Spr,Nepal,Spain,Edurne Pasaban,S Col-SE Ridge,Bad Weather,,,EVER-111-33
2011 Spr,Nepal,"UK, Estonia",David Hamilton,S Col-SE Ridge,Success,20,,EVER-111-34
2011 Spr,Nepal,"USA, UK",Dan Mazur,S Col-SE Ridge,Success,6,,EVER-111-35
2011 Spr,China,"Russia, Ireland, UK, USA",Alex Abramov,N Col-NE Ridge,Success,16,1,EVER-111-36
2011 Spr,Nepal,Nepal,Chhurim Dolma Sherpa,S Col-SE Ridge,Success,2,,EVER-111-37
2011 Spr,Nepal,India,Anshu Jamsenpa,S Col-SE Ridge,Success,3,,EVER-111-38
2011 Spr,China,"Switzerland, Austria, Germany, Italy",Kari Kobler,N Col-NE Ridge,Success,17,,EVER-111-39
2011 Spr,Nepal,"New Zealand, Australia, China, Japan, Netherlands, Norway, UK, USA",Russell Brice,S Col-SE Ridge,Success,24,,EVER-111-40
2011 Spr,Nepal,"USA, Canada, Poland, UK",Scott Woolums,S Col-SE Ridge,Success,20,,EVER-111-41
2011 Spr,Nepal,"USA, Australia, Costa Rica, Dominican Republic, Germany, Mexico, Norway",Greg Vernovage,S Col-SE Ridge,Success,37,1,EVER-111-42
2011 Spr,Nepal,"Japan, Indonesia",Hiroyuki Kuraoka,S Col-SE Ridge,Success,12,,EVER-111-43
2011 Spr,China,"Austria, Germany",Theo Fritsche,N Col-NE Ridge,Other,,,EVER-111-44
2011 Spr,China,Canada,Ron Hoglin,N Col-NE Ridge,"Illness, AMS",,,EVER-111-45
2011 Spr,Nepal,"Canada, Argentina, Australia, Bolivia, Finland, Netherlands, Sweden, USA",Tim Rippel,S Col-SE Ridge,Success,10,,EVER-111-46
2011 Spr,Nepal,"USA, Argentina, Palestine",Willie Benegas,S Col-SE Ridge,Success,11,,EVER-111-47
2011 Spr,Nepal,"Austria, Germany",Herbert Wolf,S Col-SE Ridge,"Illness, AMS",,,EVER-111-48
2011 Spr,Nepal,"USA, S Africa",Garrett Madison,S Col-SE Ridge,Success,15,,EVER-111-49
2011 Spr,China,"France, Andorra, Belgium","Nathalie Lamoureux, Thierry De Molinari",N Col-NE Ridge,Bad Weather,,,EVER-111-50
2011 Spr,China,France,Francois Matter,N Col-NE Ridge,Success,2,,EVER-111-51
2011 Spr,Nepal,"New Zealand, Australia, Canada, Ireland, Nepal , Switzerland, UK, USA",Mike Roberts,S Col-SE Ridge,Success,23,,EVER-111-52
2011 Spr,China,"UK, Canada, Mauritius","Chris Szymiec, Zac Poulton",N Col-NE Ridge,Success,18,,EVER-111-53
2011 Spr,Nepal,Nepal,Susmita Maskey,S Col-SE Ridge,Success,2,,EVER-111-54
2011 Spr,Nepal,Canada,Veronique Denys,S Col-SE Ridge,Success,3,,EVER-111-55
2011 Spr,China,France,Jean-Marc Nowak,N Col-NE Ridge,Success,2,,EVER-111-56
2011 Spr,China,India,Bhagyashree Sawant,N Col-NE Ridge,Bad Weather,,,EVER-111-57
2011 Spr,Nepal,USA,Seth Wolpin,S Col-SE Ridge,Success,2,,EVER-111-58
2011 Spr,China,Nepal,Pemba Dorje Sherpa,N Col-NE Ridge,Success,5,,EVER-111-59
2011 Spr,Nepal,India,Ganesh Chandra Jena,S Col-SE Ridge,Success,4,,EVER-111-60
2011 Spr,Nepal,USA,Dennis Broadwell,S Col-SE Ridge,Success,1,,EVER-111-61
2011 Spr,China,Poland,Kuba Juszczyk,N Col-NE Ridge,"Illness, AMS",,,EVER-111-62
2011 Spr,China,"New Zealand, Azerbaijan, Singapore, USA",Jamie McGuinness,N Col-NE Ridge,Success,4,,EVER-111-63
2011 Spr,Nepal,"UK, Australia",Tim Mosedale,S Col-SE Ridge,Success,9,,EVER-111-64
2011 Spr,Nepal,UK,Henry Todd,S Col-SE Ridge,Success,5,,EVER-111-65
2011 Spr,China,"Norway, USA",Anny Kvithyll,N Col-NE Ridge,"Illness, AMS",,,EVER-111-66
2011 Spr,Nepal,Japan,Takashi Ozaki,S Col-SE Ridge,"Illness, AMS",,1,EVER-111-67
2011 Spr,China,France,Gerard Bourrat,N Col-NE Ridge,"Illness, AMS",,,EVER-111-68
2011 Spr,China,Czech Republic,Marek Novotny,N Col-NE Ridge,Bad Weather,,,EVER-111-69
2011 Spr,Nepal,Japan,Tatsuo Matsumoto,S Col-SE Ridge,Success,2,,EVER-111-70
2011 Spr,Nepal,"Australia, Denmark, Sweden",Allan Cohrs,S Col-SE Ridge,Success,9,,EVER-111-71
2011 Spr,Nepal,Nepal,Leela Mani Paudyal,S Col-SE Ridge,Success,24,,EVER-111-72
2011 Spr,Nepal,India,Amit Kumar Kamboj,S Col-SE Ridge,Unknown,,,EVER-111-73
2011 Spr,Nepal,India,Jackie Jacks Khajuriya,S Col-SE Ridge,"Illness, AMS",,,EVER-111-74
2011 Spr,Nepal,Nepal,Bhakta Kumar Rai,S Col-SE Ridge,Success,4,,EVER-111-75
2011 Spr,Nepal,India,Dipankar Ghosh,S Col-SE Ridge,Success,4,,EVER-111-76
2011 Spr,Nepal,India,Richa Sheokand,S Col-SE Ridge,Success,1,,EVER-111-77
2011 Spr,Nepal,India,Narendra Kumar Dahiya,S Col-SE Ridge,Success,19,,EVER-111-78
2011 Spr,China,"France, Switzerland",Jerome Brisebourg,N Col-NE Ridge,Success,7,,EVER-111-79
2011 Spr,China,"Switzerland, USA",Urs Bernhard,N Col-NE Ridge,Bad Weather,,,EVER-111-80
2011 Spr,Nepal,Nepal,Sharada Kumari Rayamajhi,S Col-SE Ridge,"Illness, AMS",,,EVER-111-81
2011 Spr,China,Russia,Sergey Ermolovich,N Col-NE Ridge,"Illness, AMS",,,EVER-111-82
2011 Spr,China,Malaysia,Ahmad Fakhri Abu Samah,N Col-NE Ridge,Bad Weather,,,EVER-111-83
2011 Spr,Nepal,Iran,Mahdi Amidi Ahang,S Col-SE Ridge,Success,2,,EVER-111-84
2011 Spr,China,"Singapore, Malaysia, Thailand, USA",Swee Chiow Khoo,N Col-NE Ridge,Success,5,,EVER-111-85
2011 Spr,Nepal,Nepal,Sano Babu Sunuwar,S Col-SE Ridge,Success,4,,EVER-111-86
2011 Spr,Nepal,Nepal,Namgyal Sherpa,S Col-SE Ridge,Success,5,,EVER-111-87
2011 Spr,Nepal,Nepal,Shailendra Kumar Upadhyay,S Col-SE Ridge,Accident,,1,EVER-111-88
2011 Spr,China,Bangladesh,Mohammad Abdul Mohit,N Col-NE Ridge,Success,3,,EVER-111-89
2011 Spr,Nepal,Brazil,Paulo Coelho,S Col-SE Ridge,"Illness, AMS",,,EVER-111-90
2011 Spr,China,"UK, USA",David Hempleman-Adams,N Col-NE Ridge,Success,11,,EVER-111-91
2011 Spr,Nepal,Canada,John Furneaux,S Col-SE Ridge,Bad Weather,,,EVER-111-92
2011 Spr,Nepal,India,Chiranji Lal Mudgal,S Col-SE Ridge,Route Difficulty,,,EVER-111-93
2011 Spr,Nepal,Slovakia,Jan Carnogursky,S Col-SE Ridge,Success,3,,EVER-111-94
2011 Spr,China,USA,Joseph Klopack,N Col-NE Ridge,Unknown,,,EVER-111-95
2011 Aut,Nepal,UAE,Saeed Al Memari,S Col-SE Ridge,Bad Weather,,,EVER-113-01
2011 Aut,Nepal,"Canada, Czech Republic",Vit Morava,S Col-SE Ridge,Bad Conditions,,,EVER-113-02
2011 Aut,Nepal,Japan,Nobukazu Kuriki,Geneva Spur-SE Ridge,Lack of Supplies,,,EVER-113-03
2011 Aut,Nepal,Canada,Monique Richard,S Col-SE Ridge,Bad Conditions,,,EVER-113-04
