Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2004 Spr,China,Japan,Chizuko Kono,N Col-NE Ridge,Success,8,,EVER-041-32
2004 Spr,China,S Korea,Oh Eun-Sun,N Col-NE Ridge,Success,1,,EVER-041-33
2004 Spr,China,USA,David Hahn,N Col-NE Ridge,Success,3,,EVER-041-34
2004 Spr,Nepal,"USA, Australia, Canada, Singapore",Mark Tucker,S Col-SE Ridge,Success,7,,EVER-041-35
2004 Spr,Nepal,USA,Willie Benegas,S Col-SE Ridge,Success,5,,EVER-041-36
2004 Spr,China,UK,David Sharp,N Col-NE Ridge,"Illness, AMS",,,EVER-041-37
2004 Spr,Nepal,"USA, Austria, Finland, UK",David Breashears,S Col-SE Ridge,Success,14,,EVER-041-38
2004 Spr,China,New Zealand,James Milne,N Col-NE Ridge,Bad Weather,,,EVER-041-39
2004 Spr,China,USA,Daniel Lochner,N Col-NE Ridge,Success,4,,EVER-041-40
2004 Spr,China,"USA, Nepal","Gheorghe Dijmarescu, Lakpa Sherpa",N Col-NE Ridge,Success,8,,EVER-041-41
2004 Spr,China,S Korea,Baek Joon-Ho,N Col-NE Ridge,Success,4,3,EVER-041-42
2004 Spr,China,"New Zealand, Australia, Austria, Germany, Japan, Netherlands, Norway, S Africa, UK, USA",Russell Brice,N Col-NE Ridge,Success,33,,EVER-041-43
2004 Spr,China,"USA, Australia, Canada, France, Germany, Ireland, Netherlands, New Zealand, S Africa, UK",Dan Mazur,N Col-NE Ridge,Success,26,,EVER-041-44
2004 Spr,Nepal,Switzerland,Rupert Heider,S Col-SE Ridge,Success,4,,EVER-041-45
2004 Spr,Nepal,"Greece, Nepal",Nikolaos Magitsis,S Col-SE Ridge,Success,4,,EVER-041-46
2004 Spr,Nepal,India,Kalpana Dash,S Col-SE Ridge,Route Difficulty,,,EVER-041-47
2004 Spr,Nepal,Ireland,Pat Falvey,S Col-SE Ridge,Success,6,,EVER-041-48
2004 Spr,Nepal,"UK, New Zealand",Kenton Cool,S Col-SE Ridge,Success,5,,EVER-041-49
2004 Spr,Nepal,"Greece, USA",Panagiotis Kotronaros,S Col-SE Ridge,Success,10,,EVER-041-50
2004 Spr,Nepal,Canada,Mario Dutil,S Col-SE Ridge,Success,7,,EVER-041-51
2004 Spr,Nepal,"USA, Taiwan",Craig Van Hoy,S Col-SE Ridge,Success,3,,EVER-041-52
2004 Spr,Nepal,"Argentina, USA",Gustavo Lisi,S Col-SE Ridge,Success,4,1,EVER-041-53
2004 Spr,Nepal,"USA, Australia, Canada, Ireland, New Zealand, Norway",Luis Benitez,S Col-SE Ridge,Success,9,,EVER-041-54
2004 Spr,Nepal,Belgium,Robert Huygh,S Col-SE Ridge,Success,6,,EVER-041-55
2004 Spr,Nepal,Malaysia,Fauzan Hassan,S Col-SE Ridge,Success,5,,EVER-041-56
2004 Spr,Nepal,Spain,Josu Feijoo,S Col-SE Ridge,Success,6,,EVER-041-57
2004 Spr,Nepal,"USA, Nepal",Thomas McMillan,S Col-SE Ridge,Success,5,,EVER-041-58
2004 Spr,Nepal,Japan,Noriyuki Muraguchi,S Col-SE Ridge,Success,3,,EVER-041-59
2004 Spr,Nepal,S Korea,Chun Byung-Tai,S Col-SE Ridge,Success,6,,EVER-041-60
2004 Spr,Nepal,"Chile, UK",Rodrigo Jordan,S Col-SE Ridge,Success,9,,EVER-041-61
2004 Spr,Nepal,USA,Bill Zachary,S Col-SE Ridge,Success,2,,EVER-041-62
2004 Spr,China,Spain,Nuria Balague,N Col-NE Ridge,Success,4,,EVER-041-63
2004 Spr,China,Switzerland,Mathias Baumann,N Col-NE Ridge,"Illness, AMS",,,EVER-041-64
2004 Aut,China,Netherlands,Werner de Jong,N Col-NE Ridge,Route Difficulty,,,EVER-043-01
2004 Aut,China,Ukraine,Sergei Bershov,N Col-NE Ridge,Bad Conditions,,,EVER-043-02
2005 Spr,China,Japan,Sato Chieko,N Col-NE Ridge,Lack of Supplies,,,EVER-051-01
2005 Spr,China,Czech Republic,Josef Simunek,N Face (Japanese Couloir),Bad Weather,,,EVER-051-02
2005 Spr,China,Japan,Masakazu Okuda,N Col-NE Ridge,Success,3,,EVER-051-03
2005 Spr,China,Serbia,Miodrag Jovovic,N Col-NE Ridge,Success,3,,EVER-051-04
2005 Spr,China,India,Padubidre Nagesh Ganesh Rao,N Col-NE Ridge,Success (Claimed),,,EVER-051-05
2005 Spr,China,"USA, Nepal",Gheorghe Dijmarescu,N Col-NE Ridge,Success,3,,EVER-051-06
2005 Spr,China,Czech Republic,Martin Minarik,N Col-NE Ridge,Bad Weather,,,EVER-051-07
2005 Spr,China,Finland,Veli-Pekka Molsa,N Col-NE Ridge,"Illness, AMS",,,EVER-051-08
2005 Spr,China,Japan,Keiichi Takeuchi,N Col-NE Ridge,Success,2,,EVER-051-09
2005 Spr,China,"Ukraine, Czech Republic",Josef Kubicek,N Col-NE Ridge,Success,2,,EVER-051-10
2005 Spr,China,Bhutan,Karma Gyeltshen,N Col-NE Ridge,Success,1,,EVER-051-11
2005 Spr,China,S Korea,Um Hong-Gil,N Col-NE Ridge,Success,2,,EVER-051-12
2005 Spr,China,"India, Nepal",Major S. S. Shekhawat,N Col-NE Ridge,Success,15,,EVER-051-13
2005 Spr,China,Czech Republic,Pavel Trcala,N Col-NE Ridge,Success,1,,EVER-051-14
2005 Spr,China,"Russia, Netherlands, Slovenia, UK, Ukraine, USA",Alexander Abramov,N Col-NE Ridge,Success,21,1,EVER-051-15
2005 Spr,China,"USA, Canada","Marnie Pearsall, Nelson Snyder, Vincent Waters",N Col-NE Ridge,"Illness, AMS",,,EVER-051-16
2005 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,"Illness, AMS",,,EVER-051-17
2005 Spr,China,Poland,Jacek Teler,N Col-NE Ridge,Bad Weather,,,EVER-051-18
2005 Spr,China,"UK, Sweden, USA","Adrian Crane, Matthew Hood, Niklas Hallstrom",N Col-NE Ridge,Bad Weather,,,EVER-051-19
2005 Spr,China,"Australia, UK",Michael Parker,N Col-NE Ridge,Bad Weather,,,EVER-051-20
2005 Spr,China,Denmark,Nick Nielsen,N Col-NE Ridge,Success,1,,EVER-051-21
2005 Spr,China,Ireland,Humphrey Murphy,N Col-NE Ridge,Success,1,,EVER-051-22
2005 Spr,China,S Africa,Richmond MacIntyre,N Col-NE Ridge,Success,2,,EVER-051-23
2005 Spr,China,Canada,Jocelyn Dufour,N Col-NE Ridge,Success,1,,EVER-051-24
2005 Spr,China,USA,Brook Alongi,N Col-NE Ridge,Success,3,,EVER-051-25
2005 Spr,China,USA,Gregory Vadasdi,N Col-NE Ridge,Success,4,,EVER-051-26
2005 Spr,China,"UK, Canada",Thomas Richardson,N Col-NE Ridge,Success,7,,EVER-051-27
2005 Spr,China,UK,Di Gilbert,N Col-NE Ridge,Success,4,,EVER-051-28
2005 Spr,China,Brazil,Rodrigo Raineri,N Col-NE Ridge,Success,1,,EVER-051-29
2005 Spr,China,"UK, Norway, S Africa, USA",David Hamilton,N Col-NE Ridge,Success,14,,EVER-051-30
2005 Spr,China,Austria,Hans Goger,N Col-NE Ridge,Success,1,,EVER-051-31
2005 Spr,China,Ecuador,Jose (Pepe) Jijon,N Col-NE Ridge,Bad Weather,,,EVER-051-32
2005 Spr,China,"New Zealand, Australia, Canada, Denmark, France, Ireland, Japan, Norway, Switzerland, UK, USA",Russell Brice,N Col-NE Ridge,Success,29,,EVER-051-33
2005 Spr,China,"USA, Sweden",Ryan Waters,N Col-NE Ridge,Success,8,,EVER-051-34
2005 Spr,China,China,Zhang Jiang-Yuan,N Col-NE Ridge,Success,15,,EVER-051-35
2005 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-051-36
2005 Spr,China,"New Zealand, India, Netherlands, UK, USA",Jamie McGuinness,N Col-NE Ridge,Success,5,,EVER-051-37
2005 Spr,China,Australia,Duncan Chessell,N Col-NE Ridge,Lack of Supplies,,,EVER-051-38
2005 Spr,China,Italy,Diego Giovannini,N Col-NE Ridge,Bad Weather,,,EVER-051-39
2005 Spr,China,"Switzerland, Austria, Germany",Karl Kobler,N Col-NE Ridge,Success,5,1,EVER-051-40
2005 Spr,China,Germany,Christian Lemmerz,N Col-NE Ridge,"Illness, AMS",,,EVER-051-41
2005 Spr,China,India,Amit Chowdhury,N Col-NE Ridge,Success,7,1,EVER-051-42
2005 Spr,China,Norway,Sigrid Hammer,N Col-NE Ridge,Bad Weather,,,EVER-051-43
2005 Spr,China,San Marino,Antonio Pazzaglia,N Col-NE Ridge,Bad Weather,,,EVER-051-44
2005 Spr,China,Austria,Gerfried Goeschl,N Col-NE Ridge,Success,1,,EVER-051-45
2005 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-051-46
2005 Spr,China,Poland,Marcin Miotk,N Col-NE Ridge,Success,1,,EVER-051-47
2005 Spr,China,Italy,Claudio Rosset,N Col-NE Ridge,Success,7,,EVER-051-48
2005 Spr,China,France,Frederic Bernard,N Col-NE Ridge,Bad Weather,,,EVER-051-49
2005 Spr,China,USA,Kenneth Hill,N Col-NE Ridge,Bad Weather,,,EVER-051-50
2005 Spr,China,"Germany, Austria, Japan",Ralf Dujmovits,N Face (to 6000m) / N Face-N Col-NE Ridge (to 7700m),"Illness, AMS",,,EVER-051-51
2005 Spr,China,"Norway, Sweden",Jon Gangdal,N Col-NE Ridge,Success,10,,EVER-051-52
2005 Spr,China,Spain,Rosa Fernandez Rubio,N Col-NE Ridge,Success,3,,EVER-051-53
2005 Spr,China,Norway,Jarle Traa,N Col-NE Ridge,Bad Weather,,,EVER-051-54
2005 Spr,China,"China, Japan","Gigi, Shiori Hashimoto",N Col-NE Ridge,Success,9,,EVER-051-55
2005 Spr,China,Spain,Xavier (Xavi) Arias Sunyer,N Col-NE Ridge,Bad Weather,,,EVER-051-56
2005 Spr,Nepal,Singapore,Robert Goh,S Col-SE Ridge,Bad Weather,,,EVER-051-57
2005 Spr,Nepal,"Singapore, Malaysia, USA",Khong Lean Ee,S Col-SE Ridge,Success,6,,EVER-051-58
2005 Spr,Nepal,"S Korea, USA",Kim Jong-Min,S Col-SE Ridge,Success,9,,EVER-051-59
2005 Spr,Nepal,Canada,Ben Webster,S Col-SE Ridge,Success,5,,EVER-051-60
2005 Spr,Nepal,Japan,Michihiro Honda,S Col-SE Ridge,Success,4,,EVER-051-61
2005 Spr,Nepal,Mongolia,Bayarnyam Dasdelag,S Col-SE Ridge,Success,4,,EVER-051-62
2005 Spr,Nepal,Nepal,Moni Mulepati,S Col-SE Ridge,Success,3,,EVER-051-63
2005 Spr,Nepal,Japan,Keiichi Iwasaki,S Col-SE Ridge,Success,3,,EVER-051-64
2005 Spr,Nepal,Nepal,Ramesh Man Dangol,S Col-SE Ridge,Lack of Supplies,,,EVER-051-65
2005 Spr,Nepal,S Korea,Chung Ki-Bum,S Col-SE Ridge,Success,3,,EVER-051-66
2005 Spr,Nepal,Iran,Sadegh Aghajani,S Col-SE Ridge,Success,14,,EVER-051-67
2005 Spr,Nepal,Russia,Ludmila Moskaleva,S Col-SE Ridge,Lack of Supplies,,,EVER-051-68
2005 Spr,Nepal,Spain,Manuel Sanjuan Lara,S Col-SE Ridge,Lack of Supplies,,,EVER-051-69
2005 Spr,Nepal,Czech Republic,Miroslav Caban,S Col-SE Ridge,Bad Weather,,,EVER-051-70
2005 Spr,Nepal,Austria,Josef Einwaller,S Col-SE Ridge,Bad Weather,,,EVER-051-71
2005 Spr,Nepal,Germany,Klaus Mees,S Col-SE Ridge,"Illness, AMS",,,EVER-051-72
2005 Spr,Nepal,Italy,Diego Zubani,S Col-SE Ridge,Bad Weather,,,EVER-051-73
2005 Spr,Nepal,"USA, Austria, Canada, Spain, UK",Mark Tucker,S Col-SE Ridge,Success,9,,EVER-051-74
2005 Spr,Nepal,Spain,Jesus Gonzalez Calleja,S Col-SE Ridge,Success,3,,EVER-051-75
2005 Spr,Nepal,Spain,Bartolome (Tolo) Calafat Marcus,S Col-SE Ridge,Bad Weather,,,EVER-051-76
2005 Spr,Nepal,Spain,Carlos Pauner,S Col-SE Ridge,Bad Weather,,,EVER-051-77
2005 Spr,Nepal,Austria,Martin Feichtmeir,S Col-SE Ridge,Bad Weather,,,EVER-051-78
2005 Spr,Nepal,Germany,Olaf Rieck,S Col-SE Ridge,Bad Weather,,,EVER-051-79
2005 Spr,Nepal,"New Zealand, Switzerland",Mark Whetu,S Col-SE Ridge,Bad Weather,,,EVER-051-80
2005 Spr,Nepal,Spain,Jorge Verdeguer,S Col-SE Ridge,Lack of Supplies,,,EVER-051-81
2005 Spr,Nepal,USA,Steven Lem,S Col-SE Ridge,Bad Weather,,,EVER-051-82
2005 Spr,Nepal,"UK, Germany",Keith Woodhouse,S Col-SE Ridge,Lack of Supplies,,,EVER-051-83
2005 Spr,Nepal,Canada,Gabriel Filippi,S Col-SE Ridge,Success,2,,EVER-051-84
2005 Spr,Nepal,"UK, Australia, Canada, Norway",Kenton Cool,S Col-SE Ridge,Success,7,,EVER-051-85
2005 Spr,Nepal,Canada,Sean Egan,S Col-SE Ridge,Accident,,1,EVER-051-86
2005 Spr,Nepal,Brazil,Waldemar Niclevicz,S Col-SE Ridge,Success,3,,EVER-051-87
2005 Spr,Nepal,UK,Gavin Bate,S Col-SE Ridge,"Illness, AMS",,,EVER-051-88
2005 Spr,Nepal,"New Zealand, Australia, Canada, S Africa, UK, USA",Michael Roberts,S Col-SE Ridge,Bad Weather,,,EVER-051-89
2005 Spr,Nepal,"UK, Australia, Hungary, USA",Henry Todd,S Col-SE Ridge,Bad Weather,,1,EVER-051-90
2005 Spr,Nepal,"USA, Ecuador, Jordan, Mexico, S Africa, UK",Willi Prittie,S Col-SE Ridge,Success,15,,EVER-051-91
2005 Spr,Nepal,"USA, Canada",Jim Williams,S Col-SE Ridge,Success,6,,EVER-051-92
2005 Spr,Nepal,"USA, Luxembourg",Willie Benegas,S Col-SE Ridge,Success,9,,EVER-051-93
2005 Spr,Nepal,USA,Scott Wazny,S Col-SE Ridge,Success,2,,EVER-051-94
2005 Spr,Nepal,"USA, Germany, Netherlands, Sweden",Dan Mazur,S Col-SE Ridge,Success,3,1,EVER-051-95
2005 Spr,Nepal,USA,Daniel Smith,S Col-SE Ridge,Success,5,,EVER-051-96
2005 Spr,Nepal,USA,Julie Kay Smith,S Col-SE Ridge,Bad Weather,,,EVER-051-97
2005 Spr,Nepal,USA,Will Cross,S Col-SE Ridge,Bad Weather,,,EVER-051-98
2005 Aut,China,Poland,Jerzy Michalski,N Col-NE Ridge,Accident,,,EVER-053-01
2006 Spr,China,"S Korea, New Zealand",Park Young-Seok,N Col-NE Ridge (up); SE Ridge-S Col (down),Success,7,,EVER-061-01
2006 Spr,Nepal,USA,Douglas Tumminello,S Col-SE Ridge,Success,2,2,EVER-061-02
2006 Spr,Nepal,USA,Myung-Joon Kim,S Col-SE Ridge,Success,4,,EVER-061-03
2006 Spr,Nepal,USA,Will Cross,S Col-SE Ridge,Success,3,,EVER-061-04
2006 Spr,Nepal,USA,Julie Smith,S Col-SE Ridge,Success,2,,EVER-061-05
2006 Spr,Nepal,Germany,Klaus Mees,S Col-SE Ridge,Lack of Supplies,,,EVER-061-06
2006 Spr,Nepal,"USA, Canada, New Zealand, UK",Luis Benitez,S Col-SE Ridge,Success,14,,EVER-061-07
2006 Spr,Nepal,"USA, Austria, Belgium, UK",Dave Morton,S Col-SE Ridge,Success,13,,EVER-061-08
2006 Spr,Nepal,"UK, Bolivia",Kenton Cool,S Col-SE Ridge,Success,7,,EVER-061-09
2006 Spr,Nepal,Germany,Dirk Stephan,S Col-SE Ridge,Bad Weather,,,EVER-061-10
2006 Spr,Nepal,"UK, Australia, Canada","Tim Calder, Henry Todd",S Col-SE Ridge,Success,17,,EVER-061-11
2006 Spr,Nepal,Italy,Simone Moro,S Col-SE Ridge (up); NE Ridge-N Col (down),Success,1,,EVER-061-12
2006 Spr,Nepal,"Netherlands, France, India, UK, USA",Arnold Coster,S Col-SE Ridge,Success,8,,EVER-061-13
2006 Spr,Nepal,Taiwan,Yu-Cheng Kuo,S Col-SE Ridge,Success,2,,EVER-061-14
2006 Spr,Nepal,"USA, Australia, Austria, Canada, Germany, Switzerland",Mark Tucker,S Col-SE Ridge,Success,29,1,EVER-061-15
2006 Spr,Nepal,USA,Robert Link,S Col-SE Ridge,Success,9,,EVER-061-16
2006 Spr,Nepal,Canada,Jeffrey Warden,S Col-SE Ridge,Bad Weather,,,EVER-061-17
2006 Spr,Nepal,"New Zealand, Brazil, Ireland, UK, USA",Guy Cotter,S Col-SE Ridge,Success,14,,EVER-061-18
2006 Spr,Nepal,Japan,Eiko Funahasi,S Col-SE Ridge,Bad Weather,,,EVER-061-19
2006 Spr,Nepal,"Singapore, Malaysia",Swee Chiow Khoo,S Col-SE Ridge,Success,7,,EVER-061-20
2006 Spr,Nepal,"Poland, Russia",Boguslaw Ogrodnik,S Col-SE Ridge,Success,9,,EVER-061-21
2006 Spr,Nepal,"S Korea, Austria, France",Han Wang-Yong,S Col-SE Ridge,Other,,,EVER-061-22
2006 Spr,Nepal,S Korea,Hwang Soon-Kwang,S Col-SE Ridge,Success,6,,EVER-061-23
2006 Spr,Nepal,Spain,Juan Antonio Olivieri,S Col-SE Ridge,Success,6,,EVER-061-24
2006 Spr,Nepal,Philippines,Arturo Valdez,S Col-SE Ridge,Success,4,,EVER-061-25
2006 Spr,Nepal,Mongolia,Ganbaatar Begzsuren,S Col-SE Ridge,"Illness, AMS",,,EVER-061-26
2006 Spr,Nepal,India,Kalpana Dash,S Col-SE Ridge,"Illness, AMS",,,EVER-061-27
2006 Spr,Nepal,Philippines,Romeo Garduce,S Col-SE Ridge,Success,4,,EVER-061-28
2006 Spr,Nepal,S Africa,Sean Disney,S Col-SE Ridge,Success,4,,EVER-061-29
2006 Spr,Nepal,S Korea,Shin Jang-Seop,S Col-SE Ridge,Success,6,,EVER-061-30
2006 Spr,Nepal,"Switzerland, Austria",Karl Kobler,S Col-SE Ridge / S Col-SE Ridge (up); NE Ridge-N Col (down),Success,5,,EVER-061-31
2006 Spr,Nepal,India,S. C. Negi,S Col-SE Ridge,Success,16,,EVER-061-32
2006 Spr,China,"UK, Ireland",Stuart Peacock,N Col-NE Ridge,Success,7,,EVER-061-33
2006 Spr,China,"France, Belgium",Jacques Letrange,N Col-NE Ridge,Success,5,1,EVER-061-34
2006 Spr,China,UK,David Sharp,N Col-NE Ridge,Accident,,1,EVER-061-35
2006 Spr,China,Japan,Kenji Kondo,N Col-NE Ridge,Success,9,,EVER-061-36
2006 Spr,China,Malaysia,Ravichandran Tharumalingam,N Col-NE Ridge,Success,2,,EVER-061-37
2006 Spr,China,Japan,Tateo Yamashita,N Col-NE Ridge,Success,3,,EVER-061-38
2006 Spr,China,USA,Kenneth Hill,N Col-NE Ridge,Success,1,,EVER-061-39
2006 Spr,China,Canada,Mathieu Fagnan,N Col-NE Ridge,"Illness, AMS",,,EVER-061-40
2006 Spr,China,USA,Joby Ogwyn,N Col-NE Ridge,Bad Weather,,,EVER-061-41
2006 Spr,China,Canada,Vincent Waters,N Col-NE Ridge,"Illness, AMS",,,EVER-061-42
2006 Spr,China,"New Zealand, Australia, Denmark, France, Lebanon, Switzerland, UK, USA",Russell Brice,N Col-NE Ridge,Success,28,1,EVER-061-43
2006 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Lack of Supplies,,,EVER-061-44
2006 Spr,China,USA,Clark Jackson,N Col-NE Ridge,Success,2,,EVER-061-45
2006 Spr,China,Brazil,Rodrigo Raineri,N Col-NE Ridge,Success,1,1,EVER-061-46
2006 Spr,China,"USA, Nepal",Gheorghe Dijmarescu,E Ridge (to 6000m) / N Col-NE Ridge,Success,4,,EVER-061-47
2006 Spr,China,"China, Mongolia",Nyima Tsering,N Col-NE Ridge,Success,16,,EVER-061-48
2006 Spr,China,"USA, Spain, Sweden, UK",Scott Woolums,N Col-NE Ridge,Success,14,,EVER-061-49
2006 Spr,China,Ecuador,Patricio Tisalema,N Col-NE Ridge,Success,1,,EVER-061-50
2006 Spr,China,"USA, India, Israel, Jordan, New Zealand, S Africa",Lance Trumbull,N Col-NE Ridge,Success,10,,EVER-061-51
2006 Spr,China,Ecuador,Patricio Crausaz Sarzosa,N Col-NE Ridge,Success,1,,EVER-061-52
2006 Spr,China,USA,"John Bagnulo, Bill Yeo",N Col-NE Ridge,Success,1,,EVER-061-53
2006 Spr,China,Japan,Seiichi Kitamura,N Col-NE Ridge,Success,7,,EVER-061-54
2006 Spr,China,Austria,Christian Stangl,N Col-NE Ridge,Success,1,,EVER-061-55
2006 Spr,China,Italy,Roberto Piantoni,N Col-NE Ridge,Success,2,,EVER-061-56
2006 Spr,China,France,Gilles Sere Bouchet,N Col-NE Ridge,Success,1,,EVER-061-57
2006 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-061-58
2006 Spr,China,France,Bernard Muller,N Col-NE Ridge,Success,5,,EVER-061-59
2006 Spr,China,UK,Neill Elliot,N Col-NE Ridge,Success,9,,EVER-061-60
2006 Spr,China,France,Freddy Journet,N Col-NE Ridge,Success,2,,EVER-061-61
2006 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,Bad Weather,,,EVER-061-62
2006 Spr,China,UK,Dominic Faulkner,N Col-NE Ridge,Success,9,,EVER-061-63
2006 Spr,China,"UK, Canada, USA",David Bunting,W Ridge from N,Bad Conditions,,,EVER-061-64
2006 Spr,China,"USA, Argentina, Australia, Canada, New Zealand, UK",Dan Mazur,N Col-NE Ridge / N Col-NE Ridge (up); SE Ridge-S Col (down),Success,5,,EVER-061-65
2006 Spr,China,Spain,Juan Antonio Huisa Garcia,N Col-NE Ridge,Lack of Supplies,,,EVER-061-66
2006 Spr,China,Spain,Agusti Pallares,N Col-NE Ridge,Success,3,,EVER-061-67
2006 Spr,China,Czech Republic,Stanislava Ludikova,N Col-NE Ridge,"Illness, AMS",,,EVER-061-68
2006 Spr,China,Czech Republic,Miroslav Palacky,N Col-NE Ridge,Success,1,,EVER-061-69
2006 Spr,China,Czech Republic,Josef Kubicek,N Col-NE Ridge,Bad Weather,,,EVER-061-70
2006 Spr,China,S Korea,Hong Bo-Seong,N Col-NE Ridge,Success,5,,EVER-061-71
2006 Spr,China,"France, Poland",Robert Pulka,N Col-NE Ridge,Bad Weather,,,EVER-061-72
2006 Spr,China,Ecuador,Jose (Pepe) Jijon,N Col-NE Ridge,Success,1,,EVER-061-73
2006 Spr,China,"Sweden, Norway",Tomas Olsson,N Col-NE Ridge (up); N Face (Great Couloir) (down),Success,4,1,EVER-061-74
2006 Spr,China,Hungary,David Klein,N Col-NE Ridge,Bad Weather,,,EVER-061-75
2006 Spr,China,Spain,Luis Carlos Garranzo,N Col-NE Ridge,Success,2,,EVER-061-76
2006 Spr,China,Sweden,Olof Sundstrom,N Col-NE Ridge,Success,3,,EVER-061-77
2006 Spr,China,Spain,Jose Gregorio Diego Estebanez,N Col-NE Ridge,Success,1,,EVER-061-78
2006 Spr,China,Spain,Josu Feijoo-Gayoso,N Col-NE Ridge,Success,5,,EVER-061-79
2006 Spr,China,Spain,Joan Cardona,N Col-NE Ridge,Success,3,,EVER-061-80
2006 Spr,China,Switzerland,Josette Valloton,N Col-NE Ridge,Lack of Supplies,,,EVER-061-81
2006 Spr,China,Spain,Jose Andres (Pepe) Blanco Sanchez,N Col-NE Ridge,"Illness, AMS",,,EVER-061-82
2006 Spr,China,Spain,Juan Jose Buendia,N Col-NE Ridge,Success,6,,EVER-061-83
2006 Spr,China,Israel,Gdaliahu Shtirmer,N Col-NE Ridge,Success,3,,EVER-061-84
2006 Spr,China,Turkey,Serhan Pocan,N Col-NE Ridge,Success,18,,EVER-061-85
2006 Spr,China,India,Harbhajan Singh,N Col-NE Ridge,Success,14,1,EVER-061-86
2006 Spr,China,Russia,Boris Korshunov,N Col-NE Ridge,Success,1,,EVER-061-87
2006 Spr,China,Belarus,Vladimir Telpuk,N Col-NE Ridge,Success,3,,EVER-061-88
2006 Spr,China,"Russia, Australia, Denmark, Germany, Netherlands, Norway, S Africa, UK, Ukraine, USA",Alex Abramov,N Col-NE Ridge,Success,24,2,EVER-061-89
2006 Spr,China,Bahrain,Adnan Al Qassab,N Col-NE Ridge,"Illness, AMS",,,EVER-061-90
2006 Spr,China,S Korea,Jang Duk-Sang,N Col-NE Ridge,Success,4,,EVER-061-91
2006 Spr,China,Australia,Blair Falahey,N Col-NE Ridge,Success,3,,EVER-061-92
2006 Spr,China,Philippines,Dale Abenojar,N Col-NE Ridge,Success,2,,EVER-061-93
2006 Spr,China,S Korea,Lee Chang-Beak,N Col-NE Ridge,Success,5,,EVER-061-94
2006 Spr,China,S Korea,Yoon Keon-Jung,N Col-NE Ridge,Success,7,,EVER-061-95
2006 Spr,China,S Korea,Baek Doo-In,N Col-NE Ridge,Success,5,,EVER-061-96
2006 Spr,China,Nepal,Endra Bahadur Rai,N Col-NE Ridge,Success,1,,EVER-061-97
2006 Spr,China,China,Ahu,N Col-NE Ridge,Success (Claimed),,,EVER-061-98
2006 Aut,Nepal,"USA, Canada",Wally Berg,S Col-SE Ridge,Success,14,,EVER-063-01
2006 Aut,China,Spain,Alberto Inurrategi,N Face (Japanese & Hornbein Couloirs),"Illness, AMS",,,EVER-063-02
2006 Aut,Nepal,S Korea,Go Young-Kuk,S Col-SE Ridge,Bad Weather,,,EVER-063-03
2007 Spr,China,Philippines,Arturo Valdez,N Col-NE Ridge (up); SE Ridge-S Col (down) / N Col-NE Ridge,Success,7,,EVER-071-01
2007 Spr,China,Kazakhstan,Maxut Zhumayev,N Col-NE Ridge,Success,2,,EVER-071-02
2007 Spr,China,Japan,Kazuhiko Miyamoto,N Col-NE Ridge,Bad Weather,,,EVER-071-03
2007 Spr,China,"USA, Nepal",Gheorghe Dijmarescu,N Col-NE Ridge,Success,2,,EVER-071-04
2007 Spr,China,Japan,Jun Yasumura,N Col-NE Ridge,Success,3,,EVER-071-05
2007 Spr,China,Japan,Koichi Oyama,N Col-NE Ridge,Success,3,,EVER-071-06
2007 Spr,China,S Africa,Ronnie Muhl,N Col-NE Ridge,Success,6,,EVER-071-07
2007 Spr,China,"Australia, Czech Republic",Tashi Tenzing,N Col-NE Ridge,Success,4,,EVER-071-08
2007 Spr,China,UK,Ian Woodall,N Col-NE Ridge,Bad Conditions,,,EVER-071-09
2007 Spr,China,Japan,Takashi Ozaki,N Col-NE Ridge,Success,3,,EVER-071-10
2007 Spr,China,Italy,Romano Benet,N Col-NE Ridge,Success,2,,EVER-071-11
2007 Spr,China,"Norway, Sweden, Switzerland",Cato Pedersen,N Col-NE Ridge,Other,,,EVER-071-12
2007 Spr,China,Italy,Ivan Vian,N Col-NE Ridge,Success,1,,EVER-071-13
2007 Spr,China,Canada,Manuel Pizarro,N Col-NE Ridge,Success,1,,EVER-071-14
2007 Spr,China,Canada,"Anatoly Bondarev, Rubat Du Merac",N Col-NE Ridge,Lack of Supplies,,,EVER-071-15
2007 Spr,China,Canada,Serge Dessureault,N Col-NE Ridge,Success,5,,EVER-071-16
2007 Spr,China,USA,Dick Morse,N Col-NE Ridge,Success,3,,EVER-071-17
2007 Spr,China,USA,William English,N Col-NE Ridge,Bad Weather,,,EVER-071-18
2007 Spr,China,UK,Gary Parker,N Col-NE Ridge,Other,,,EVER-071-19
2007 Spr,China,UK,Robin Beadle,N Col-NE Ridge,Success,10,,EVER-071-20
2007 Spr,China,Colombia,Juan Pablo Ruiz,N Col-NE Ridge,Success,9,,EVER-071-21
