date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 16,21:29,21,Hand,Right,1,Scracth,Home,2026-02-16 21:29:00
Feb 16,21:39,21,Hand,Left,1,Scracth,Home,2026-02-16 21:39:00
Feb 16,21:47,21,Hand,Left,1,Scracth,Home,2026-02-16 21:47:00
Feb 16,21:49,21,Hand,Left,1,Scracth,Home,2026-02-16 21:49:00
Feb 16,22:15,22,Hand,Left,1,Scracth,Home,2026-02-16 22:15:00
Feb 16,22:24,22,Hand,Right,1,Scracth,Home,2026-02-16 22:24:00
Feb 16,22:29,22,Hand,Left,1,Scracth,Home,2026-02-16 22:29:00
Feb 16,22:34,22,Hand,Left,1,Scracth,Home,2026-02-16 22:34:00
Feb 17,0:30,0,Hand,Right,1,Pinch,Home,2026-02-17 00:30:00
Feb 17,9:09,9,Hand,Right,1,Pinch,Home,2026-02-17 09:09:00
Feb 17,9:10,9,Hand,Right,1,Pinch,Home,2026-02-17 09:10:00
Feb 17,9:15,9,Hand,Left,1,Pinch,Home,2026-02-17 09:15:00
Feb 17,9:21,9,Hand,Left,1,Scracth,Home,2026-02-17 09:21:00
Feb 17,9:22,9,Hand,Left,1,Scracth,Home,2026-02-17 09:22:00
Feb 17,9:33,9,Hand,Right,1,Pinch,Home,2026-02-17 09:33:00
Feb 17,9:45,9,Hand,Right,1,Scracth,Home,2026-02-17 09:45:00
Feb 17,9:54,9,Hand,Right,1,Scracth,Home,2026-02-17 09:54:00
Feb 17,10:31,10,Hand,Left,1,Scracth,Home,2026-02-17 10:31:00
Feb 17,10:45,10,Hand,Right,1,Scracth,Commute,2026-02-17 10:45:00
Feb 17,11:09,11,Hand,Left,1,Scracth,School,2026-02-17 11:09:00
Feb 17,11:49,11,Hand,Left,1,Scracth,School,2026-02-17 11:49:00
Feb 17,12:14,12,Hand,Left,1,Scracth,School,2026-02-17 12:14:00
Feb 17,12:17,12,Hand,Left,1,Scracth,School,2026-02-17 12:17:00
Feb 17,12:35,12,Hand,Right,1,Scracth,School,2026-02-17 12:35:00
Feb 17,12:50,12,Hand,Left,1,Scracth,School,2026-02-17 12:50:00
Feb 17,13:12,13,Hand,Right,1,Pinch,School,2026-02-17 13:12:00
Feb 17,13:29,13,Hand,Right,1,Scracth,School,2026-02-17 13:29:00
Feb 17,13:57,13,Hand,Right,1,Pinch,School,2026-02-17 13:57:00
Feb 17,14:13,14,Hand,Right,1,Pinch,School,2026-02-17 14:13:00
Feb 17,14:56,14,Hand,Right,1,Pinch,School,2026-02-17 14:56:00
Feb 17,16:02,16,Hand,Right,1,Flick,School,2026-02-17 16:02:00
Feb 17,16:22,16,Hand,Right,1,Flick,School,2026-02-17 16:22:00
Feb 17,16:24,16,Hand,Right,1,Pinch,School,2026-02-17 16:24:00
Feb 17,16:43,16,Hand,Left,1,Pinch,School,2026-02-17 16:43:00
Feb 17,16:44,16,Hand,Right,2,Pinch,School,2026-02-17 16:44:00
Feb 17,17:05,17,Hand,Right,1,Pinch,School,2026-02-17 17:05:00
Feb 17,17:41,17,Hand,Right,1,Pinch,School,2026-02-17 17:41:00
Feb 17,17:42,17,Hand,Right,1,Pinch,School,2026-02-17 17:42:00
Feb 17,18:06,18,Hand,Left,1,Brush,Commute,2026-02-17 18:06:00
Feb 17,18:11,18,Hand,Right,1,Brush,Meal,2026-02-17 18:11:00
Feb 17,18:22,18,Hand,Left,1,Brush,Commute,2026-02-17 18:22:00
Feb 17,18:48,18,Hand,Right,1,Scracth,School,2026-02-17 18:48:00
Feb 17,18:53,18,Hand,Left,1,Scracth,School,2026-02-17 18:53:00
Feb 17,19:58,19,Hand,Right,1,Pinch,School,2026-02-17 19:58:00
Feb 17,20:27,20,Hand,Right,1,Scracth,School,2026-02-17 20:27:00
Feb 17,21:00,21,Hand,Right,1,Scracth,Commute,2026-02-17 21:00:00
Feb 17,21:08,21,Hand,Right,1,Scracth,Commute,2026-02-17 21:08:00
Feb 17,21:39,21,Hand,Right,2,Scracth,Home,2026-02-17 21:39:00
Feb 17,21:48,21,Hand,Left,1,Scracth,Home,2026-02-17 21:48:00
Feb 17,21:52,21,Hand,Right,1,Scracth,Home,2026-02-17 21:52:00
Feb 17,22:09,22,Hand,Right,1,Scracth,Home,2026-02-17 22:09:00
Feb 17,23:10,23,Hand,Right,1,Scracth,Home,2026-02-17 23:10:00
Feb 17,23:11,23,Hand,Right,1,Scracth,Home,2026-02-17 23:11:00
Feb 18,9:57,9,Hand,Left,2,Scracth,Home,2026-02-18 09:57:00
Feb 18,10:03,10,Hand,Left,1,Scracth,Home,2026-02-18 10:03:00
Feb 18,10:13,10,Hand,Left,1,Scracth,Home,2026-02-18 10:13:00
Feb 18,10:33,10,Hand,Left,1,Pinch,Home,2026-02-18 10:33:00
Feb 18,10:48,10,Hand,Right,1,Pinch,Home,2026-02-18 10:48:00
Feb 18,10:49,10,Hand,Right,1,Scracth,Home,2026-02-18 10:49:00
Feb 18,10:50,10,Hand,Right,1,Scracth,Home,2026-02-18 10:50:00
Feb 18,10:33,10,Hand,Left,1,Scracth,Home,2026-02-18 10:33:00
Feb 18,11:06,11,Hand,Left,1,Scracth,Home,2026-02-18 11:06:00
Feb 18,11:22,11,Hand,Right,1,Scracth,Home,2026-02-18 11:22:00
Feb 18,11:34,11,Hand,Right,1,Scracth,Home,2026-02-18 11:34:00
Feb 18,11:41,11,Hand,Right,1,Scracth,Home,2026-02-18 11:41:00
Feb 18,11:50,11,Hand,Right,1,Scracth,Home,2026-02-18 11:50:00
Feb 18,12:01,12,Hand,Right,1,Scracth,Home,2026-02-18 12:01:00
Feb 18,12:02,12,Hand,Right,1,Scracth,Home,2026-02-18 12:02:00
